Training started at 2026-02-18 20:08:41.773622
Configuration:
  Dataset: SEED (62 channels, 200Hz)
  Segment length: 4000 samples
  LR: 0.001, Min LR: 1e-06
  Batch size: 32
  Mask ratio: 0.75
  Epochs: 200
============================================================

Epoch   0 | Loss: 1.1585 | Cor: -0.0001 | LR: 4.97e-05
Epoch   1 | Loss: 0.9288 | Cor: 0.1384 | LR: 9.97e-05 ✓ BEST
Epoch   2 | Loss: 0.8282 | Cor: 0.3034 | LR: 1.50e-04 ✓ BEST
Epoch   3 | Loss: 0.8178 | Cor: 0.3208 | LR: 2.00e-04 ✓ BEST
Epoch   4 | Loss: 0.8106 | Cor: 0.3317 | LR: 2.50e-04 ✓ BEST
Epoch   5 | Loss: 0.8014 | Cor: 0.3271 | LR: 3.00e-04
Epoch   6 | Loss: 0.7964 | Cor: 0.3332 | LR: 3.50e-04 ✓ BEST
Epoch   7 | Loss: 0.7935 | Cor: 0.3402 | LR: 4.00e-04 ✓ BEST
Epoch   8 | Loss: 0.7904 | Cor: 0.3461 | LR: 4.50e-04 ✓ BEST
Epoch   9 | Loss: 0.7874 | Cor: 0.3556 | LR: 5.00e-04 ✓ BEST
Epoch  10 | Loss: 0.7819 | Cor: 0.3639 | LR: 5.50e-04 ✓ BEST
Epoch  11 | Loss: 0.7785 | Cor: 0.3719 | LR: 6.00e-04 ✓ BEST
Epoch  12 | Loss: 0.7761 | Cor: 0.3776 | LR: 6.50e-04 ✓ BEST
Epoch  13 | Loss: 0.7737 | Cor: 0.3808 | LR: 7.00e-04 ✓ BEST
Epoch  14 | Loss: 0.7750 | Cor: 0.3807 | LR: 7.50e-04
Epoch  15 | Loss: 0.7789 | Cor: 0.3832 | LR: 8.00e-04 ✓ BEST
Epoch  16 | Loss: 0.7860 | Cor: 0.3844 | LR: 8.50e-04 ✓ BEST
Epoch  17 | Loss: 0.7480 | Cor: 0.4488 | LR: 9.00e-04 ✓ BEST
Epoch  18 | Loss: 0.6384 | Cor: 0.5982 | LR: 9.50e-04 ✓ BEST
Epoch  19 | Loss: 0.6014 | Cor: 0.6364 | LR: 1.00e-03 ✓ BEST
Epoch  20 | Loss: 0.5915 | Cor: 0.6446 | LR: 1.00e-03 ✓ BEST
Epoch  21 | Loss: 0.5824 | Cor: 0.6525 | LR: 1.00e-03 ✓ BEST
Epoch  22 | Loss: 0.5709 | Cor: 0.6621 | LR: 9.99e-04 ✓ BEST
Epoch  23 | Loss: 0.5614 | Cor: 0.6699 | LR: 9.99e-04 ✓ BEST
Epoch  24 | Loss: 0.5577 | Cor: 0.6728 | LR: 9.98e-04 ✓ BEST
Epoch  25 | Loss: 0.5529 | Cor: 0.6762 | LR: 9.97e-04 ✓ BEST
Epoch  26 | Loss: 0.5458 | Cor: 0.6812 | LR: 9.96e-04 ✓ BEST
Epoch  27 | Loss: 0.5427 | Cor: 0.6836 | LR: 9.95e-04 ✓ BEST
Epoch  28 | Loss: 0.5397 | Cor: 0.6864 | LR: 9.94e-04 ✓ BEST
Epoch  29 | Loss: 0.5355 | Cor: 0.6896 | LR: 9.92e-04 ✓ BEST
Epoch  30 | Loss: 0.5324 | Cor: 0.6917 | LR: 9.91e-04 ✓ BEST
Epoch  31 | Loss: 0.5274 | Cor: 0.6950 | LR: 9.89e-04 ✓ BEST
Epoch  32 | Loss: 0.5237 | Cor: 0.6975 | LR: 9.87e-04 ✓ BEST
Epoch  33 | Loss: 0.5204 | Cor: 0.6993 | LR: 9.85e-04 ✓ BEST
Epoch  34 | Loss: 0.5173 | Cor: 0.7015 | LR: 9.83e-04 ✓ BEST
Epoch  35 | Loss: 0.5145 | Cor: 0.7039 | LR: 9.81e-04 ✓ BEST
Epoch  36 | Loss: 0.5134 | Cor: 0.7045 | LR: 9.78e-04 ✓ BEST
Epoch  37 | Loss: 0.5115 | Cor: 0.7059 | LR: 9.76e-04 ✓ BEST
Epoch  38 | Loss: 0.5088 | Cor: 0.7077 | LR: 9.73e-04 ✓ BEST
Epoch  39 | Loss: 0.5062 | Cor: 0.7092 | LR: 9.70e-04 ✓ BEST
Epoch  40 | Loss: 0.5038 | Cor: 0.7111 | LR: 9.67e-04 ✓ BEST
Epoch  41 | Loss: 0.5004 | Cor: 0.7133 | LR: 9.64e-04 ✓ BEST
Epoch  42 | Loss: 0.4988 | Cor: 0.7145 | LR: 9.60e-04 ✓ BEST
Epoch  43 | Loss: 0.4972 | Cor: 0.7160 | LR: 9.57e-04 ✓ BEST
